,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
11,article,1151596,J. Philip East,,,,On Models of and for Teaching: Toward Theory-based Computing Education,41--50,,10.0,"learning theory, pedagogical theory, theory of instruction, theory-based research, theory-based teaching",10.1145/1151588.1151596,,,,,,,2006.0,,Proceedings of the Second International Workshop on Computing Education Research,ICER '06,,1-59593-494-4,"Canterbury, United Kingdom",ACM,"New York, NY, USA",computing education theory
17,article,2960321,Raina  Mason and   Simon and Graham  Cooper and Barry  Wilks,,,,Flipping the Assessment of Cognitive Load: Why and How,43--52,,10.0,"cognitive load theory, computing education, mobile apps, programming education",10.1145/2960310.2960321,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on International Computing Education Research,ICER '16,,978-1-4503-4449-4,"Melbourne, VIC, Australia",ACM,"New York, NY, USA",computing education theory
19,article,1227462,Christopher W. Brown and Eric A. Hardisty,,,,RegeXeX: An Interactive System Providing Regular Expression Exercises,445--449,,5.0,"education, regular expressions, theory of computing",10.1145/1227310.1227462,,,,,,,2007.0,,Proceedings of the 38th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '07,,1-59593-361-1,"Covington, Kentucky, USA",ACM,"New York, NY, USA",computing education theory
20,article,2526986,Carsten  Kleiner and Christopher  Tebbe and Felix  Heine,,,,Automated Grading and Tutoring of SQL Statements to Improve Student Learning,161--168,,8.0,"SQL, automated assessment, automated grading, computer science education, distance learning, information systems education, learning management system, tutoring",10.1145/2526968.2526986,,,,,,,2013.0,,Proceedings of the 13th Koli Calling International Conference on Computing Education Research,Koli Calling '13,,978-1-4503-2482-3,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
25,article,1599790,Victor  Kaptelinin and Michael  Cole,,,,Individual and Collective Activities in Educational Computer Game Playing,142--147,,6.0,"activity theory, computer games, educational setting",,,,,,,,1997.0,,Proceedings of the 2Nd International Conference on Computer Support for Collaborative Learning,CSCL '97,,,"Toronto, Ontario, Canada",International Society of the Learning Sciences,,computing education theory
29,article,971348,Luiz Filipe M. Vieira and Marcos Augusto M. Vieira and Newton J. Vieira,,,,"Language Emulator, a Helpful Toolkit in the Learning Process of Computer Theory",135--139,,5.0,"computer theory, teaching, tool",10.1145/971300.971348,,,,,,,2004.0,,Proceedings of the 35th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '04,,1-58113-798-2,"Norfolk, Virginia, USA",ACM,"New York, NY, USA",computing education theory
30,article,1275645,Guillermo  Pay&#225;-Vay&#225; and Thomas  Jambor and Konstantin  Septinus and Sebastian  Hesselbarth and Holger  Flatt and Marc  Freisfeld and Peter  Pirsch,,,,ChipDesign: From Theory to Real World,58--64,,7.0,"computer architecture education, integrated circuits",10.1145/1275633.1275645,,,,,,,2007.0,,Proceedings of the 2007 Workshop on Computer Architecture Education,WCAE '07,,978-1-59593-797-1,"San Diego, California",ACM,"New York, NY, USA",computing education theory
37,article,1089795,J. Paul Gibson and Jackie  O'Kelly,,,,Software Engineering As a Model of Understanding for Learning and Problem Solving,87--97,,11.0,computing education research,10.1145/1089786.1089795,,,,,,,2005.0,,Proceedings of the First International Workshop on Computing Education Research,ICER '05,,1-59593-043-4,"Seattle, WA, USA",ACM,"New York, NY, USA",computing education theory
44,article,803459,John H. Wolfe,,,,Automatic Question Generation from Text - an Aid to Independent Study,104--112,,9.0,,10.1145/953026.803459,SIGCUE Outlook,February 1976,10,SI,,February,1976.0,0163-5735,,,,,,ACM,"New York, NY, USA",computing education theory
47,article,1930469,P&#228;ivi  Kinnunen and Beth  Simon,,,,Building Theory About Computing Education Phenomena: A Discussion of Grounded Theory,37--42,,6.0,"grounded theory, qualitative research, research methodology",10.1145/1930464.1930469,,,,,,,2010.0,,Proceedings of the 10th Koli Calling International Conference on Computing Education Research,Koli Calling '10,,978-1-4503-0520-4,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
