,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
0,2,article,1149374,  Social Computing Research Group,,,,Understanding Computer Mediated Social Experience: Implications for CSCL,617--621,,5.0,"face-to-face learning, networked multiplayer games, online learning, role of the expert, social engagement",,,,,,,,2005.0,,Proceedings of th 2005 Conference on Computer Support for Collaborative Learning: Learning 2005: The Next 10 Years!,CSCL '05,,0-8058-5782-6,"Taipei, Taiwan",International Society of the Learning Sciences,,computing education theory
1,3,article,122392,CORPORATE  The Parallel Computing Forum,,,,PCF Parallel Fortran Extensions,1--57,,57.0,,10.1145/122391.122392,SIGPLAN Fortran Forum,Sept. 1991,10,3,,September,1991.0,1061-7264,,,,,,ACM,"New York, NY, USA",computing education theory
2,11,article,1151596,J. Philip East,,,,On Models of and for Teaching: Toward Theory-based Computing Education,41--50,,10.0,"learning theory, pedagogical theory, theory of instruction, theory-based research, theory-based teaching",10.1145/1151588.1151596,,,,,,,2006.0,,Proceedings of the Second International Workshop on Computing Education Research,ICER '06,,1-59593-494-4,"Canterbury, United Kingdom",ACM,"New York, NY, USA",computing education theory
3,13,article,2043595,Linda  Marshall,,,,Developing a Computer Science Curriculum in the South African Context,9--19,,11.0,education,,,,,,,,2011.0,,Computer Science Education Research Conference,CSERC '11,,978 90 358 1987 0,"Heerlen, Netherlands","Open Universiteit, Heerlen","Open Univ., Heerlen, The Netherlands, The Netherlands",computing education theory
4,15,article,979970,Wayne  Brookes,,,,Computing Theory with Relevance,9--13,,5.0,"XML, computer science education, computing theory",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education theory
5,17,article,2960321,Raina  Mason and   Simon and Graham  Cooper and Barry  Wilks,,,,Flipping the Assessment of Cognitive Load: Why and How,43--52,,10.0,"cognitive load theory, computing education, mobile apps, programming education",10.1145/2960310.2960321,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on International Computing Education Research,ICER '16,,978-1-4503-4449-4,"Melbourne, VIC, Australia",ACM,"New York, NY, USA",computing education theory
6,18,article,1227462,Christopher W. Brown and Eric A. Hardisty,,,,RegeXeX: An Interactive System Providing Regular Expression Exercises,445--449,,5.0,"education, regular expressions, theory of computing",10.1145/1227504.1227462,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
8,20,article,2526986,Carsten  Kleiner and Christopher  Tebbe and Felix  Heine,,,,Automated Grading and Tutoring of SQL Statements to Improve Student Learning,161--168,,8.0,"SQL, automated assessment, automated grading, computer science education, distance learning, information systems education, learning management system, tutoring",10.1145/2526968.2526986,,,,,,,2013.0,,Proceedings of the 13th Koli Calling International Conference on Computing Education Research,Koli Calling '13,,978-1-4503-2482-3,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
9,24,article,1473218,Gordana  Jovanovic-Dolecek and Alfonso  Fernandez-Vazquez,,,,Use of MATLAB in Teaching the Fundamentals of Random Variables,46--51,,6.0,"MATLAB, educational software, probability theory",10.1145/1473195.1473218,SIGCSE Bull.,December 2008,40,4,,November,2008.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
10,25,article,1599790,Victor  Kaptelinin and Michael  Cole,,,,Individual and Collective Activities in Educational Computer Game Playing,142--147,,6.0,"activity theory, computer games, educational setting",,,,,,,,1997.0,,Proceedings of the 2Nd International Conference on Computer Support for Collaborative Learning,CSCL '97,,,"Toronto, Ontario, Canada",International Society of the Learning Sciences,,computing education theory
