,Unnamed: 0,title,author,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,keyword,num_pages
0,0,Kolb's experiential learning theory guiding the simulation-based higher education in computing: A pedagogical proposal based on the Game of Life,E. Elizeu da Silva; M. das Gra?as Bruno Marietto; W. T. Botelho,"Universidade Federal do ABC Centro de Matem&#x00E1;tica, Computa&#x00E7;&#x00E3;o e Cogni&#x00E7;&#x00E3;o",2014 XL Latin American Computing Conference (CLEI),20141124.0,2014,,,1,12,"Computer simulation is a tool used in many areas, offering advantages such as the safety of operations performed in a controlled environment. As a teaching tool allows systems to be studied through experimentation where theories and hypotheses can be explored and developed. Therefore, it is necessary to provide laboratory experiences, which has been a challenge for higher education Computing. Aiming to contribute to rethinking the use of computer simulation as a teaching tool, this paper presents a pedagogical proposal that investigates the application of simulation in conjunction with the Kolb's Theory of Experiential Learning. The content chosen to be taught was the Game of Life, implemented in Repast simulation platform. This work contributes to higher education in Computing offering a well-structured environment for disciplines with contents addressing the topic Modeling and Computer Simulation.",,Electronic:978-1-4799-6130-6; POD:978-1-4799-6131-3,10.1109/CLEI.2014.6965193,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6965193,Computer Simulation;Game of Life;Higher Education;Kolb's Experiential Learning Theory,Computational modeling;Computer simulation;Context modeling;Education;Games;Laser radar;Proposals,computer aided instruction;digital simulation;further education;teaching,Game of Life;Kolb's experiential learning theory;Repast simulation platform;computer simulation;higher education computing;pedagogical proposal;simulation-based higher education;teaching tool;topic modeling,,0.0,,19.0,,,,15-19 Sept. 2014,,IEEE,IEEE Conference Publications,computing education theory,11
1,3,"Relativistic Timekeeping, Motion, and Gravity in Distributed Systems",D. G. Messerschmitt,"Department of Electrical Engineering and Computer Sciences, University of California at Berkeley, CA, USA",Proceedings of the IEEE,20170717.0,2017,105,8.0,1511,1573,"Timekeeping and related functions such as navigation are important in distributed systems with manufactured nodes such as satellites, spacecraft, distributed computing, and communications. With increases in frequencies, velocities, clock rates, and bit rates, as well as the tightening timekeeping and positioning accuracy demanded of applications, relativistic effects increasingly enter as a design consideration. In this paper, representative applications are surveyed to illustrate relativistic effects in timekeeping. The general theory of relativity is avoided by neglecting gravity in the presence of motion and neglecting motion in the presence of gravity. The special theory of relativity combined with the equivalence principle then provide closed-form models that aid system designers in understanding the nature and relevance of relativistic effects. This is applied to modeling relativistic clock rate and time synchronization in the presence of motion or gravity. The kinematics of special relativity is developed using a new simplified approach in which velocity and acceleration are referenced to the frame-invariant proper time rather than the conventional frame-dependent coordinate time. This approach considerably narrows the scope of relativistic effects, and is particularly appropriate for manufactured systems. Further, by decomposing acceleration into components longitudinal and transverse relative to the direction of motion, simple scalar frame-invariant relations between proper and coordinate perspectives follow. The dynamics and conservation laws of special relativity are illustrated by the relativistic rocket equation. Finally, the Lorentz transformation and its implications are derived from first principles, completing a self-contained exposition. Our perspective and approaches are tailored to the needs of engineering practitioners, educators, and students, and our new methodology may be appropriate in an introductory physics education as well. Mathematical- y the treatment is based on first-order vector differential equations and the chain rule of differentiation.",0018-9219;00189219,,10.1109/JPROC.2017.2717980,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7982857,Relativistic effects;clocks;communication;doppler effect;dynamics;gravity;kinematics;rocket equation;synchronization;timekeeping,Acceleration;Clocks;Distributed processing;Gravity;Kinematics;Mathematical model;Relativistic effects;Synchronization;Timing,Lorentz transformation,Lorentz transformation;conservation laws;distributed systems;first-order vector differential equations;frame-dependent coordinate time;frame-invariant proper time;relativistic clock rate;relativistic effects;relativistic timekeeping;satellites;spacecraft;special relativity kinematics;special relativity theory,,,,,,,,Aug. 2017,,IEEE,IEEE Journals & Magazines,computing education theory,62
2,7,Teaching and learning queueing theory concepts using Tangible User Interfaces,C. De Raffaele; S. Smith; O. Gemikonakli,"School of Science and Technology, Middlesex University Malta, Pembroke, PBK1776, Malta","2016 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)",20170213.0,2016,,,194,201,"Tangible User Interfaces (TUI) have emerged in the past years as effective computing platforms that intertwine digital information and visualization with physical interactivity. Whilst successfully capitalizing on these properties within primary education to engage and educate children in an entertaining manner, TUI systems have seen limited deployment in more complex scenarios. To this end, this paper investigates the aptness and effectiveness of implementing TUI systems to enhance teaching and learning within higher educational institutes in order to aid the understanding of complex and abstract concepts. The proposal augments mere simulation processes by developing a table-top architecture to allow the real-time interaction and visualization of queuing theory concepts. The paper describes the deployment of the TUI framework within an undergraduate computer networks degree whereby the quantitative effectiveness of this system is assessed from a teaching and learning perspective within an engineering pedagogy.",,Electronic:978-1-5090-5598-2; POD:978-1-5090-5599-9,10.1109/TALE.2016.7851794,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7851794,Computer Aided Instruction;Higher Education;Queueing Theory;Tangible User Interface,Computer aided instruction;Conferences;Decision support systems;Handheld computers;Queueing analysis;User interfaces,computer aided instruction;computer networks;computer science education;data visualisation;educational courses;further education;queueing theory;user interfaces,TUI systems;abstract concepts;computing platforms;digital information;engineering pedagogy;higher educational institutes;physical interactivity visualization;queueing theory concepts;table-top architecture;tangible user interfaces;undergraduate computer networks degree,,,,,,,,7-9 Dec. 2016,,IEEE,IEEE Conference Publications,computing education theory,7
3,8,"The Connected Learner: Engaging faculty to connect computing students to peers, profession and purpose",M. L. Maher; B. Cukic; L. Mays; S. Rogelberg; C. Latulipe; J. Payton; A. Rorrer; T. Frevert,"College of Computing and Informatics, University of North Carolina at Charlotte, United States",2016 IEEE Frontiers in Education Conference (FIE),20161201.0,2016,,,1,8,"The Connected Learner is a re-orientation of undergraduate computing education that focuses on connecting students to peers, the profession, and purpose. The College of Computing and Informatics at UNC Charlotte-comprised of three departments with an undergraduate enrollment of approximately 1,500 students-is a large research institution in an urban setting with a diverse student population. Within this unique context, the project aim is to build a sustainable practice of educational innovation across the undergraduate computing curriculum by increasing faculty awareness of teaching innovations, resources for pedagogical change, and support for teaching practices that engage students. The vision is to create an active learning environment that transforms the student entering the computing undergraduate program from a person with an interest in computing to a person with an affinity identity [1] as a computing professional through these ongoing connections. We employ a systems theory of change for the Connected Learner based on two foundational concepts: flipped classrooms and engagement theory. To achieve related goals of improving student retention and time to graduation, Connected Learner teaching strategies are being integrated across the undergraduate curriculum with an initial focus on introductory gateway courses. Change is occurring via infrastructure supports to sustain learning practices across our college through faculty development initiatives (hiring, training, mentoring, and incentives) that are designed to inform faculty about engagement pedagogies, motivate faculty to adopt these practices, and shift pedagogical attitudes. During the first year of the five-year project, quantitative and qualitative data from students and faculty was collected and analyzed. This data provides a baseline of student attitudes and performance as well as a baseline of faculty attitudes and teaching practices. In this paper, we present the background, context, organization- l structure, and research questions for the project. Findings from Year 1 are discussed, including academic outcomes, project milestones, and student attitudes towards new teaching practices. Long-term project goals and expectations are presented.",,Electronic:978-1-5090-1790-4; POD:978-1-5090-1791-1,10.1109/FIE.2016.7757473,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7757473,active learning;computer science education;faculty development;pedagogy;student engagement,Education;Online services;Organizations;Sociology;Statistics;Technological innovation,computer science education;educational courses;teaching,UNC Charlotte;active learning environment;college of computing and informatics;computing professional;computing students;connected learner;educational innovation;engagement pedagogies;engagement theory;faculty attitudes;flipped classrooms;introductory gateway courses;pedagogical attitudes;student population;teaching innovations;teaching practices;undergraduate computing curriculum;undergraduate computing education;undergraduate curriculum;undergraduate enrollment;urban setting,,,,,,,,12-15 Oct. 2016,,IEEE,IEEE Conference Publications,computing education theory,7
4,10,An Extension of the SEMAT Kernel for Representing Teaching and Learning Practices about Embedded Systems,R. S?nchez-Dams; A. Bar?n-Salazar; M. C. G?mez-?lvarez,"Grupo de Investig. Lenguajes Computacionales, Univ. Nac. de Colombia, Medellin, Colombia",2016 4th International Conference in Software Engineering Research and Innovation (CONISOFT),20160526.0,2016,,,39,46,"Demand for embedded systems has increased in recent years. This demand requires engineers with specialized skills and knowledge. For this, the higher education institutions are developing training strategies aimed primarily at lectures and laboratory practices. However, these strategies are insufficient for the development of technical and social skills required by engineers. In addition, currently there is a lack of a common framework to facilitate teaching-learning process and achievement of learning objectives. In this paper, the authors present a proposal for representation of teaching and learning practices about embedded systems, which have been oriented to track and encourage competency development. The proposal is based on the SEMAT kernel as universal framework for representing software engineering practices, defining an extension to such kernel. In addition, a methodology is proposed with a practical approach for creating theories related to computing, this methodology is used to define an extension of the SEMAT kernel for another discipline domain. In this paper, a first form of general representation of teaching and learning practices about embedded system is proposed. The proposal includes the minimum elements that should have any practice of teaching and learning about embedded systems, and the extension mechanisms to represent specific elements.",,Electronic:978-1-5090-1074-5; POD:978-1-5090-1075-2,10.1109/CONISOFT.2016.15,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7477909,SEMAT kernel;embedded system;learning;practice;teaching,Education;Embedded systems;Kernel;Proposals;Software engineering;Stakeholders,embedded systems;further education;teaching,SEMAT kernel;competency development;embedded systems;higher education institutions;laboratory practices;learning practices;lectures;social skills;software engineering practices;teaching-learning process;universal framework,,,,32.0,,,,27-29 April 2016,,IEEE,IEEE Conference Publications,computing education theory,7
5,11,Practices of crowdsourcing in relation to big data analysis and education methods,A. Benedek; G. Moln?r; Z. Sz?ts,"Budapest University of Technology and Economics /Department of Technical Education, Budapest, Hungary",2015 IEEE 13th International Symposium on Intelligent Systems and Informatics (SISY),20151112.0,2015,,,167,172,"The subject of our paper is crowdsourcing and its use in big data analysis and education. Crowdsourcing is the latest revolution brought about by the digital technologies of computing and communication. Since 2006, it has been a popular process of obtaining services, ideas, or content by soliciting contributions from a large group of people, especially from an online community, using ICT. Firstly we introduce crowdsourcing in the context of the information society, ubiquitous computing, and Web 2.0. We shall then look at the paradigm shift in methodology caused by the advent of crowdsourcing and big data. This brings us to the focus of our paper, where we can define and categorize crowdsourcing according to several aspects, and introduce the theory of collective intelligence, the wisdom of crowds, in order to present its use in big data analysis and education. In the fourth part, we give examples of citizen science crowdsourcing related to education. Finally, we raise some important issues and draw conclusions.",1949-047X;1949047X,Electronic:978-1-4673-9388-1; POD:978-1-4673-9389-8; USB:978-1-4673-9387-4,10.1109/SISY.2015.7325373,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7325373,ICT;Web 2.0;big data;crowdsourcing;education,Big data;Crowdsourcing;Cultural differences;Education;Google;Web 2.0,Big Data;Internet;computer aided instruction;data analysis;outsourcing;ubiquitous computing,ICT;Web 2.0;big data analysis;citizen science crowdsourcing;digital technologies;education methods;information society;online community;ubiquitous computing,,,,16.0,,,,17-19 Sept. 2015,,IEEE,IEEE Conference Publications,computing education theory,5
6,12,XCBC and XNIT - Tools for Cluster Implementation and Management in Research and Training,J. Fischer; E. Coulter; R. Knepper; C. Peck; C. A. Stewart,,2015 IEEE International Conference on Cluster Computing,20151029.0,2015,,,857,864,"The Extreme Science and Engineering Discovery Environment has created a suite of software designed to facilitate the local management of computer clusters for scientific research and integration of such clusters with the US open research national cyberinfrastructure. This suite of software is distributed in two ways. One distribution is called the XSEDE-compatible basic cluster (XCBC), a Rocks Roll that does an ?all at once, from scratch? installation of core components. The other distribution is called the XSEDE National Integration Toolkit (XNIT), so that specific tools can be downloaded and installed in portions as appropriate on existing clusters. In this paper, we describe the software included in XCBC and XNIT, and examine the use of XCBC installed on the LittleFe cluster design created by the Earlham College Cluster Computing Group as a teaching tool to show the deployment of XCBC from Rocks. In addition, the demonstration of the commercial Limulus HPC200 Deskside Cluster solution is shown as a viable, off-the-shelf cluster that can be adapted to become an XSEDE-like cluster through the use of the XNIT repository. We demonstrate that both approaches to cluster management - use of SCBC to build clusters from scratch and use of XNIT to expand capabilities of existing clusters - aid cluster administrators in administering clusters that are valuable locally and facilitate integration and interoperability of campus clusters with national cyberinfrastructure. We also demonstrate that very economical clusters can be useful tools in education and research. Categories and Subject Descriptors Theory of computation - Parallel computing models; Computer systems organization - Grid computing; Computer systems organization - Special purpose systems.",1552-5244;15525244,Electronic:978-1-4673-6598-7; POD:978-1-4673-6599-4,10.1109/CLUSTER.2015.143,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7307692,CentOS;HPC;Linux;LittleFe;RedHat;Rocks;XSEDE;administration;applications;bridging;campus;cluster;computational;education;management;open;packaging;research;rolls;rpm;science;source;sysadmin;systems;training;yum,Buildings;Computers;Rocks;Software;Standards;Training,parallel processing;research and development,Extreme Science and Engineering Discovery Environment;Limulus HPC200 deskside cluster solution;LittleFe cluster design;US open research national cyberinfrastructure;United States;XCBC tool;XNIT tool;XSEDE national integration toolkit;XSEDE-compatible basic cluster;computer cluster management,,,,38.0,,,,8-11 Sept. 2015,,IEEE,IEEE Conference Publications,computing education theory,7
7,14,Neighbourhood systems based knowledge acquisition using MapReduce from Big Data over cloud computing,B. K. Tripathy; H. R. Vishwakarma; D. P. Kothari,"School of Computing Science and Engineering, VIT University, Vellore - 632014, Tamil Nadu, India","2014 Conference on IT in Business, Industry and Government (CSIBIG)",20150312.0,2014,,,1,6,"Cloud computing represents a paradigm shift - a transition from computing-as-a-product to computing-as-aservice. It can be applied to a range of areas, including ecommerce, health, education, communities, etc which are emerging as the important sectors in today's market. Day-byday more knowledge is added to the internet and is shared amongst the users in addition to the official use over the cloud. As a result the energy consumption by the networks is increasing and it needs to be managed. This usage can be brought into account for measuring and hence conserving the energy. The consumption is all together considered for the processing, storage and transport of the knowledge granules over the cloud. Since the data accessed in the cloud is ?ondemand?, the prediction techniques like those using rough sets can be used to minimize the transfer of data over the cloud networks. The data over the cloud can be procured with the help of rough set based methods efficiently which can help in conserving the energy. Recently, the basic rough set theory has been extended to the notion of neighbourhood based rough sets where information systems with heterogeneous features are prevalent. In this paper, we propose a neighbourhood based rough set approach for knowledge acquisition using MapReduce from Big Data.",,CD-ROM:978-1-4799-3062-3; Electronic:978-1-4799-3064-7; POD:978-1-4799-3065-4,10.1109/CSIBIG.2014.7056958,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7056958,Big Data;Cloud Computing;Distributed Systems;MapReduce;NB-rough Sets;Rough Set,Big data;Rough sets;Runtime,Big Data;Internet;cloud computing;distributed programming;energy consumption;knowledge acquisition;power aware computing;rough set theory,Big Data;Internet;MapReduce;cloud computing;cloud networks;computing-as-a-product;computing-as-aservice;energy conservation;energy consumption;heterogeneous features;information systems;knowledge granules;neighbourhood based rough set theory;neighbourhood systems based knowledge acquisition,,0.0,,21.0,,,,8-9 March 2014,,IEEE,IEEE Conference Publications,computing education theory,5
8,15,Developing a Smart Grid cybersecurity education platform and a preliminary assessment of its first application,T. Yardley; S. Uludag; K. Nahrstedt; P. Sauer,U. of Illinois at Urbana-Champaign,2014 IEEE Frontiers in Education Conference (FIE) Proceedings,20150219.0,2014,,,1,9,"The energy sector worldwide has embarked on a transformational process to modernize the over-a-century-old power grid under an umbrella term of the Smart Grid. This vast infrastructural upgrade and operational change involves integration of a variety of advanced digital computing, communications and industrial control technologies. This brings new capabilities, but also necessitates a re-education of the aging workforce and training of the emerging workforce. While training does exist, the training approach and the accessibility of that training is often at odds with the needs of the utilities. To support this education and training need, in this paper we introduce the beginning of a modular, hands-on and open Smart Grid cybersecurity educational training platform and supporting materials together with an assessment of a preliminary version leveraged at the Trustworthy Cyber Infrastructure for the Power Grid (TCIPG) Summer School held in 2013. We base pedagogical pillars onto: (1) Active Learning that promotes analysis, synthesis, and evaluation of the content from Bloom's taxonomy, (2) The theory of project-based learning, (3) Piaget's learn-by-doing posture, and (4) Constructivist perspective of education. The main goal of this effort is to develop a complete, phased, and modular learning platform to provide the essential base knowledge and hands-on training exercises for understanding and demonstrating competency in Smart Grid cybersecurity.",0190-5848;01905848,Electronic:978-1-4799-3922-0; POD:978-1-4799-3923-7; USB:978-1-4799-3921-3,10.1109/FIE.2014.7044273,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7044273,,Computer security;Educational institutions;Materials;Smart grids;Training,computer aided instruction;power engineering education;security of data;smart power grids;trusted computing,Bloom taxonomy;Piaget learn-by-doing posture;TCIPG Summer School;Trustworthy Cyber Infrastructure for the Power Grid;active learning;advanced digital computing;hands-on training exercises;industrial control technologies;infrastructural upgrade;modular learning platform;open smart grid cybersecurity educational training platform;operational change;over-a-century-old power grid;project-based learning;smart grid cybersecurity education platform;transformational process,,2.0,,40.0,,,,22-25 Oct. 2014,,IEEE,IEEE Conference Publications,computing education theory,8
9,16,Problem-Based Learning Approach to a Course in Data Intensive Systems,T. W. Wlodarczyk; T. J. Hacker,"Center for IP-based Service Innovation, Univ. of Stavanger, Stavanger, Norway",2014 IEEE 6th International Conference on Cloud Computing Technology and Science,20150212.0,2014,,,942,948,"The emergence of Big Data and Data Intensive Systems as specialized fields in computing is motivating the development of new courses and curricula. The biggest challenge is to define coherent and stable intended learning outcomes in a highly dynamic field. It is also necessary to balance between proper knowledge acquisition by student and the required time investment of teacher. We carefully looked into education theory and based our course on the problem based learning approach. We demonstrate how to define relevant intended learning outcomes, problems, teaching/learning activities and we align them with assessment tasks. Preliminary evaluation shows that intended learning outcomes are well covered by defined problems and that alignment between teaching/learning activities and assessment tasks has been reached. We hope this paper documenting our approach will be useful to other groups facing a similar task, we also think it can be helpful in establishing of Common Body of Knowledge for Data Intensive Science and related areas.",,Electronic:978-1-4799-4093-6; POD:978-1-4799-4092-9; USB:978-1-4799-4094-3,10.1109/CloudCom.2014.133,,http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7037788,big data;constructivism;course;cyberinfrastructre;data intensive science;data intensive systems;problem-based learning,Big data;Distributed databases;Educational institutions;Laboratories;Materials;Training,Big Data;computer aided instruction;educational courses;teaching,Big Data;Common Body of Knowledge;Data Intensive Science;assessment tasks;course development;curricula development;data intensive systems;education theory;knowledge acquisition;learning outcomes;problem-based learning approach;teaching/learning activities,,1.0,,18.0,,,,15-18 Dec. 2014,,IEEE,IEEE Conference Publications,computing education theory,6
