,Unnamed: 0,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
3,13,article,2043595,Linda  Marshall,,,,Developing a Computer Science Curriculum in the South African Context,9--19,,11.0,education,,,,,,,,2011.0,,Computer Science Education Research Conference,CSERC '11,,978 90 358 1987 0,"Heerlen, Netherlands","Open Universiteit, Heerlen","Open Univ., Heerlen, The Netherlands, The Netherlands",computing education theory
4,15,article,979970,Wayne  Brookes,,,,Computing Theory with Relevance,9--13,,5.0,"XML, computer science education, computing theory",,,,,,,,2004.0,,Proceedings of the Sixth Australasian Conference on Computing Education - Volume 30,ACE '04,,,"Dunedin, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education theory
5,17,article,2960321,Raina  Mason and   Simon and Graham  Cooper and Barry  Wilks,,,,Flipping the Assessment of Cognitive Load: Why and How,43--52,,10.0,"cognitive load theory, computing education, mobile apps, programming education",10.1145/2960310.2960321,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on International Computing Education Research,ICER '16,,978-1-4503-4449-4,"Melbourne, VIC, Australia",ACM,"New York, NY, USA",computing education theory
8,20,article,2526986,Carsten  Kleiner and Christopher  Tebbe and Felix  Heine,,,,Automated Grading and Tutoring of SQL Statements to Improve Student Learning,161--168,,8.0,"SQL, automated assessment, automated grading, computer science education, distance learning, information systems education, learning management system, tutoring",10.1145/2526968.2526986,,,,,,,2013.0,,Proceedings of the 13th Koli Calling International Conference on Computing Education Research,Koli Calling '13,,978-1-4503-2482-3,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
11,26,article,1227439,Darren  Lim,,,,Taking Students out for a Ride: Using a Board Game to Teach Graph Theory,367--371,,5.0,"computer science education, games, graph theory",10.1145/1227504.1227439,SIGCSE Bull.,March 2007,39,1,,March,2007.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
16,34,article,2538910,Claudia  Szabo and Katrina  Falkner,,,,Neo-piagetian Theory As a Guide to Curriculum Analysis,115--120,,6.0,"computer science education, curriculum mapping",10.1145/2538862.2538910,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education theory
17,35,article,3084324,Chris  Proctor and Paulo  Blikstein,,,,Interactive Fiction: Weaving Together Literacies of Text and Code,555--560,,6.0,"computational literacy, computer science education, sociocultural learning theory, sociolinguistics",10.1145/3078072.3084324,,,,,,,2017.0,,Proceedings of the 2017 Conference on Interaction Design and Children,IDC '17,,978-1-4503-4921-5,"Stanford, California, USA",ACM,"New York, NY, USA",computing education theory
18,37,article,1089795,J. Paul Gibson and Jackie  O'Kelly,,,,Software Engineering As a Model of Understanding for Learning and Problem Solving,87--97,,11.0,computing education research,10.1145/1089786.1089795,,,,,,,2005.0,,Proceedings of the First International Workshop on Computing Education Research,ICER '05,,1-59593-043-4,"Seattle, WA, USA",ACM,"New York, NY, USA",computing education theory
19,39,article,544461,Orit  Hazzan,,,,Reducing Abstraction Level when Learning Computability Theory Concepts,156--160,,5.0,"abstraction, computability, computer science education, mental processes",10.1145/637610.544461,SIGCSE Bull.,September 2002,34,3,,June,2002.0,0097-8418,,,,,,ACM,"New York, NY, USA",computing education theory
21,41,article,2532751,Ben  Gibson and Tim  Bell,,,,Evaluation of Games for Teaching Computer Science,51--60,,10.0,"computer science education, educational games, play",10.1145/2532748.2532751,,,,,,,2013.0,,Proceedings of the 8th Workshop in Primary and Secondary Computing Education,WiPSE '13,,978-1-4503-2455-7,"Aarhus, Denmark",ACM,"New York, NY, USA",computing education theory
25,45,article,2853199,Neena  Thota and Anders  Berglund,,,,Learning Computer Science: Dimensions of Variation Within What Chinese Students Learn,10:1--10:27,10.0,27.0,"Computer science education, context, phenomenography, qualitative research, variation theory",10.1145/2853199,Trans. Comput. Educ.,June 2016,16,3,,May,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
29,50,article,2899455,Ilias O. Pappas and Michail N. Giannakos and Letizia  Jaccheri,,,,Investigating Factors Influencing Students' Intention to Dropout Computer Science Studies,198--203,,6.0,"computer science education, dropout, higher education., retention",10.1145/2899415.2899455,,,,,,,2016.0,,Proceedings of the 2016 ACM Conference on Innovation and Technology in Computer Science Education,ITiCSE '16,,978-1-4503-4231-5,"Arequipa, Peru",ACM,"New York, NY, USA",computing education theory
32,58,article,2597964,Ricardo  Hoar,,,,Generally Educated In The 21st Century: The Importance Of Computer Literacy In An Undergraduate Curriculum,6:1--6:5,6.0,5.0,"Computer Fluency, Computer Literacy, General Education",10.1145/2597959.2597964,,,,,,,2014.0,,Proceedings of the Western Canadian Conference on Computing Education,WCCCE '14,,978-1-4503-2899-9,"Richmond, BC, Canada",ACM,"New York, NY, USA",computing education theory
33,63,article,3017763,Shelly  Engelman and Brian  Magerko and Tom  McKlin and Morgan  Miller and Doug  Edwards and Jason  Freeman,,,,Creativity in Authentic STEAM Education with EarSketch,183--188,,6.0,"computer science education, creativity, earsketch, steam education",10.1145/3017680.3017763,,,,,,,2017.0,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing education theory
34,64,article,2325373,Barry  Fagin and Dino  Schweitzer,,,,MyTuringTable: A Teaching Tool to Accompany Turing's Original Paper on Computability,333--338,,6.0,"computer science education, educational software, history of computing, turing machines",10.1145/2325296.2325373,,,,,,,2012.0,,Proceedings of the 17th ACM Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '12,,978-1-4503-1246-2,"Haifa, Israel",ACM,"New York, NY, USA",computing education theory
35,65,article,2674691,Claudia  Szabo and Katrina  Falkner and Nickolas  Falkner,,,,Experiences in Course Design Using Neo-piagetian Theory,81--90,,10.0,"computer science education, course design, neo-piaget",10.1145/2674683.2674691,,,,,,,2014.0,,Proceedings of the 14th Koli Calling International Conference on Computing Education Research,Koli Calling '14,,978-1-4503-3065-7,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
45,80,article,2983524,Antti  Knutas and Antti  Herala and Erno  Vanhala and Jouni  Ikonen,,,,The Flipped Classroom Method: Lessons Learned from Flipping Two Programming Courses,423--430,,8.0,"Flipped classroom, computer science education, computer-supported education, programming",10.1145/2983468.2983524,,,,,,,2016.0,,Proceedings of the 17th International Conference on Computer Systems and Technologies 2016,CompSysTech '16,,978-1-4503-4182-0,"Palermo, Italy",ACM,"New York, NY, USA",computing education theory
46,84,article,2538971,Claudia  Szabo,,,,Evaluating GameDevTycoon for Teaching Software Engineering,403--408,,6.0,"computer science education, software engineering",10.1145/2538862.2538971,,,,,,,2014.0,,Proceedings of the 45th ACM Technical Symposium on Computer Science Education,SIGCSE '14,,978-1-4503-2605-6,"Atlanta, Georgia, USA",ACM,"New York, NY, USA",computing education theory
47,85,article,2999545,Outi  Laiti,,,,The Ethnoprogramming Model,150--154,,5.0,"computer science education, ethnocomputing, ethnoprogramming",10.1145/2999541.2999545,,,,,,,2016.0,,Proceedings of the 16th Koli Calling International Conference on Computing Education Research,Koli Calling '16,,978-1-4503-4770-9,"Koli, Finland",ACM,"New York, NY, USA",computing education theory
49,92,article,2785807,Wanda M. Kunkle and Robert B. Allen,,,,The Impact of Different Teaching Approaches and Languages on Student Learning of Introductory Programming Concepts,3:1--3:26,3.0,26.0,Education,10.1145/2785807,Trans. Comput. Educ.,February 2016,16,1,,January,2016.0,1946-6226,,,,,,ACM,"New York, NY, USA",computing education theory
