type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc,keyword
technical report,3106077,  The Committee on European Computing Education (CECE),,,,,,,,,,,,,,,,2017,,Informatics Education in Europe: Are We All In The Same Boat?,,,978-1-4503-5361-8,,ACM,"New York, NY, USA",computing education strategies
book,3108241,  ACM Committee for Computing Education in Community Colleges (CCECC),,,,,,,,,,,,,,,,2017,,ACM Computer Science Curricular Guidance for Associate-Degree Transfer Programs with Infused Cybersecurity,,,978-1-4503-5369-4,,ACM,"New York, NY, USA",computing education strategies
article,1149374,  Social Computing Research Group,,,,Understanding Computer Mediated Social Experience: Implications for CSCL,617--621,,5,"face-to-face learning, networked multiplayer games, online learning, role of the expert, social engagement",,,,,,,,2005,,Proceedings of th 2005 Conference on Computer Support for Collaborative Learning: Learning 2005: The Next 10 Years!,CSCL '05,,0-8058-5782-6,"Taipei, Taiwan",International Society of the Learning Sciences,,computing education strategies
book,2534860,"  Joint Task Force on Computing Curricula, Association for Computing Machinery (ACM) and IEEE Computer Society",,,,,,,,,,,,,,,,2013,,Computer Science Curricula 2013: Curriculum Guidelines for Undergraduate Degree Programs in Computer Science,,,978-1-4503-2309-3,,ACM,"New York, NY, USA",computing education strategies
article,767626,  The journal of computing sciences in colleges staff,,,,Steering Committee - CCSC Central Plains Conference,160--161,,2,,,J. Comput. Sci. Coll.,Apr-03,18,4,,April,2003,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computing education strategies
article,214931,CORPORATE  ASL Committee on Logic Education,,,,The 1984 Snowbird Report: Future Issues in Computer Science,490--493,,4,,10.1145/3532.214931,Commun. ACM,May-85,28,5,,May,1985,0001-0782,,,,,,ACM,"New York, NY, USA",computing education strategies
technical report,2594500,  Compiled by the ACM Education Board,,,,,,,,,,,,,,,,1983,,"ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing",,,0-89791-119-9,,ACM,"New York, NY, USA",computing education strategies
technical report,2594168,  The Joint Task Force on Computing Curricula,,,,,,,,,,,,,,,,2004,,Curriculum Guidelines for Undergraduate Degree Programs in Software Engineering,,,,,ACM,"New York, NY, USA",computing education strategies
technical report,2965631,  The Joint Task Force on Computing Curricula,,,,,,,,,,,,,,,,2015,,Curriculum Guidelines for Undergraduate Degree Programs in Software Engineering,,,,,ACM,"New York, NY, USA",computing education strategies
book,539380,  Association For Computing Machinery,,,,,,,,,,,,,,,,1982,,Proceedings of the AdaTEC Conference on ADA,,,897910877,,ACM,"New York, NY, USA",computing education strategies
book,525600,  Association For Computing Machinery,,,,,,,,,,,,,,,,1996,,Vrst 96: Virtual Reality Software and Technology,,,897918258,,ACM,"New York, NY, USA",computing education strategies
article,2576872,Aman  Yadav and Chris  Mayfield and Ninger  Zhou and Susanne  Hambrusch and John T.  Korb,,,,Computational Thinking in Elementary and Secondary Teacher Education,5:1--5:16,5,16,"Computational thinking, teacher education, teaching/learning strategies",10.1145/2576872,Trans. Comput. Educ.,Mar-14,14,1,,March,2014,1946-6226,,,,,,ACM,"New York, NY, USA",computing education strategies
article,122392,CORPORATE  The Parallel Computing Forum,,,,PCF Parallel Fortran Extensions,1--57,,57,,10.1145/122391.122392,SIGPLAN Fortran Forum,Sept. 1991,10,3,,September,1991,1061-7264,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2591715,Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner,,,,Identifying Computer Science Self-regulated Learning Strategies,291--296,,6,"computer science education, self-regulation strategies",10.1145/2591708.2591715,,,,,,,2014,,Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education,ITiCSE '14,,978-1-4503-2833-3,"Uppsala, Sweden",ACM,"New York, NY, USA",computing education strategies
article,2844604,Robert  Deloatch and Brian P. Bailey and Alex  Kirlik,,,,Measuring Effects of Modality on Perceived Test Anxiety for Computer Programming Exams,291--296,,6,"computer-based testing, programming-centric exam, test anxiety",10.1145/2839509.2844604,,,,,,,2016,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
article,305940,Marijana  Lomic and Zoran  Putnik,,,,On Distance Education Courseware,194--,,,"WWW, computers in education, learning strategies, multimedia",10.1145/384267.305940,SIGCSE Bull.,Sept. 1999,31,3,,June,1999,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,305940,Marijana  Lomic and Zoran  Putnik,,,,On Distance Education Courseware,194--,,,"WWW, computers in education, learning strategies, multimedia",10.1145/305786.305940,,,,,,,1999,,Proceedings of the 4th Annual SIGCSE/SIGCUE ITiCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '99,,1-58113-087-2,"Cracow, Poland",ACM,"New York, NY, USA",computing education strategies
article,2819050,Nancy R. Mead,,,,Industry/University Collaboration in Software Engineering Education: Refreshing and Retuning Our Strategies,273--275,,3,"collaboration, education, software engineering, strategies",,,,,,,,2015,,Proceedings of the 37th International Conference on Software Engineering - Volume 2,ICSE '15,,,"Florence, Italy",IEEE Press,"Piscataway, NJ, USA",computing education strategies
article,1862723,Michael  de Raadt and Richard  Watson and Mark  Toleman,,,,Teaching and Assessing Programming Strategies Explicitly,45--54,,10,"curriculum, introductory programming, strategies",,,,,,,,2009,,Proceedings of the Eleventh Australasian Conference on Computing Education - Volume 95,ACE '09,,978-1-920682-76-7,"Wellington, New Zealand","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,2823345,Ilias  Gerostathopoulos and Tomas  Bures and Petr  Hnetynka and Adam  Hujecek and Frantisek  Plasil and Dominik  Skoda,,,,Strengthening Adaptation in Cyber-Physical Systems via Meta-Adaptation Strategies,13:1--13:25,13,25,"Meta-adaptation strategies, adaptation strategies",10.1145/2823345,ACM Trans. Cyber-Phys. Syst.,Jul-17,1,3,,April,2017,2378-962X,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2844632,Aaron  Bloomfield and Borja  Sotomayor,,,,A Programming Contest Strategy Guide,609--614,,6,"icpc, programming contest, strategy",10.1145/2839509.2844632,,,,,,,2016,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
article,2667204,Angela  Carbone and Jason  Ceddia and   Simon and Daryl  D'Souza and Raina  Mason,,,,Student Concerns in Introductory Programming Courses,41--50,,10,"ICT education, education quality in ICT, teaching strategy, thematic analysis",,,,,,,,2013,,Proceedings of the Fifteenth Australasian Computing Education Conference - Volume 136,ACE '13,,978-1-921770-21-0,"Adelaide, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia",computing education strategies
article,2934494,Mike  Mannion and Juha  Savolainen,,,,Choosing Reusable Software Strategies,227--231,,5,"reuse, strategy",10.1145/2934466.2934494,,,,,,,2016,,Proceedings of the 20th International Systems and Software Product Line Conference,SPLC '16,,978-1-4503-4050-2,"Beijing, China",ACM,"New York, NY, USA",computing education strategies
article,2978238,Karen H. Jin and Kathleen  Haynie and Gavin  Kearns,,,,Teaching Elementary Students Programming in a Physical Computing Classroom,85--90,,6,"k-12, physical computing, teaching strategies",10.1145/2978192.2978238,,,,,,,2016,,Proceedings of the 17th Annual Conference on Information Technology Education,SIGITE '16,,978-1-4503-4452-4,"Boston, Massachusetts, USA",ACM,"New York, NY, USA",computing education strategies
article,2870663,Fabiane Barreto Vavassori Benitti and Leonardo  Sommariva,,,,Evaluation of a Game Used to Teach Usability to Undergraduate Students in Computer Science,21--39,,19,"educational games, learning strategies, serious games, teaching strategies, usability engineering",,J. Usability Studies,Nov-15,11,1,,November,2015,1931-3357,,,,,,Usability Professionals' Association,"Bloomingdale, IL",computing education strategies
article,767627,  The journal of computing sciences in colleges staff,,,,Referees - 2003 CCSC Central Plains Conference,161--161,,1,,,J. Comput. Sci. Coll.,Apr-03,18,4,,April,2003,1937-4771,,,,,,Consortium for Computing Sciences in Colleges,USA,computing education strategies
article,1999819,Angela  Carbone and Jessica  Wong and Jason  Ceddia,,,,A Scheme for Improving ICT Units with Critically Low Student Satisfaction,253--257,,5,"action research, education quality in ict, ict education, teaching strategy",10.1145/1999747.1999819,,,,,,,2011,,Proceedings of the 16th Annual Joint Conference on Innovation and Technology in Computer Science Education,ITiCSE '11,,978-1-4503-0697-3,"Darmstadt, Germany",ACM,"New York, NY, USA",computing education strategies
article,1496634,Mark D Gross and James  Herbsleb and Susan  Finger and Mary  Shaw,,,,Strategies for Research About Design: A Multidisciplinary Graduate Workshop,4--6,,3,"design research, design research education, science of design",10.1145/1496630.1496634,,,,,,,2007,,Proceedings of the 2007 Symposium on Science of Design,SoD '07,,978-1-60558-436-2,"Arcata, California, USA",ACM,"New York, NY, USA",computing education strategies
article,3017685,Kimberly  Hughes and Carol L. Fletcher and Leigh Ann DeLyser and Anthony  Owen,,,,Building CS Teaching Capacity: Comparing Strategies for Achieving Large Scale Impact,667--668,,2,"MOOC, computer science education, teacher certification",10.1145/3017680.3017685,,,,,,,2017,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,SIGCSE '17,,978-1-4503-4698-6,"Seattle, Washington, USA",ACM,"New York, NY, USA",computing education strategies
article,2850503,Aaron  Bloomfield and Borja  Sotomayor,,,,Increasing Programming Contest Participation for Fun and Profit (Abstract Only),709--710,,2,"icpc, programming contest, strategy",10.1145/2839509.2850503,,,,,,,2016,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
article,1121356,Michael R. Wick and Daniel E. Stevenson,,,,On Using Scheme to Introduce Prolog,41--45,,5,"computer science education, programming languages, prolog, scheme, teaching strategy",10.1145/1124706.1121356,SIGCSE Bull.,Mar-06,38,1,,March,2006,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,1121356,Michael R. Wick and Daniel E. Stevenson,,,,On Using Scheme to Introduce Prolog,41--45,,5,"computer science education, programming languages, prolog, scheme, teaching strategy",10.1145/1121341.1121356,,,,,,,2006,,Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education,SIGCSE '06,,1-59593-259-3,"Houston, Texas, USA",ACM,"New York, NY, USA",computing education strategies
article,2844608,Cindy  Norris,,,,An Examination of Layers of Quizzing in Two Computer Systems Courses,48--53,,6,"computer science education, quizzing",10.1145/2839509.2844608,,,,,,,2016,,Proceedings of the 47th ACM Technical Symposium on Computing Science Education,SIGCSE '16,,978-1-4503-3685-7,"Memphis, Tennessee, USA",ACM,"New York, NY, USA",computing education strategies
article,2037282,Teresa  Dahlberg and Tiffany  Barnes and Kim  Buch and Audrey  Rorrer,,,,The STARS Alliance: Viable Strategies for Broadening Participation in Computing,18:1--18:25,18,25,"BPC, Broadening participation in computing, computing curricula, education, service-learning",10.1145/2037276.2037282,Trans. Comput. Educ.,Oct-11,11,3,,October,2011,1946-6226,,,,,,ACM,"New York, NY, USA",computing education strategies
article,2968109,Britton  Horn and Amy K. Hoover and Jackie  Barnes and Yetunde  Folajimi and Gillian  Smith and Casper  Harteveld,,,,Opening the Black Box of Play: Strategy Analysis of an Educational Game,142--153,,12,"computational thinking, educational games, evaluation, playtrace analysis",10.1145/2967934.2968109,,,,,,,2016,,Proceedings of the 2016 Annual Symposium on Computer-Human Interaction in Play,CHI PLAY '16,,978-1-4503-4456-2,"Austin, Texas, USA",ACM,"New York, NY, USA",computing education strategies
article,1822167,Ulrich  Kiesmueller and Sebastian  Sossalla and Torsten  Brinda and Korbinian  Riedhammer,,,,Online Identification of Learner Problem Solving Strategies Using Pattern Recognition Methods,274--278,,5,"algorithms, computer science education, pattern recognition, problem solving strategies, secondary education, tool-based analysis",10.1145/1822090.1822167,,,,,,,2010,,Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '10,,978-1-60558-820-9,"Bilkent, Ankara, Turkey",ACM,"New York, NY, USA",computing education strategies
article,1095758,David W. Valentine,,,,Practical Computer Security: A New Service Course Based Upon the National Strategy to Secure Cyberspace,185--189,,5,"education, model syllabi, security",10.1145/1095714.1095758,,,,,,,2005,,Proceedings of the 6th Conference on Information Technology Education,SIGITE '05,,1-59593-252-6,"Newark, NJ, USA",ACM,"New York, NY, USA",computing education strategies
article,1806515,Veronica  Dahl and Diana  Cukierman and Gemma  Bel-Enguix and M. Dolores Jim&#233;nez-Lopez,,,,Logic Programming: Teaching Strategies for Students with No Programming Background,2:1--2:5,2,5,"computer and information science education, computers and education, humanities, literacy, logic programming",10.1145/1806512.1806515,,,,,,,2010,,Proceedings of the 15th Western Canadian Conference on Computing Education,WCCCE '10,,978-1-4503-0098-8,"Kelowna, British Columbia, Canada",ACM,"New York, NY, USA",computing education strategies
article,1384390,Ananda  Gunawardena and John  Barr and Andrew  Owens,,,,A Method for Analyzing Reading Comprehension in Computer Science Courses,348--348,,1,"language, reading, strategies",10.1145/1384271.1384390,,,,,,,2008,,Proceedings of the 13th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '08,,978-1-60558-078-4,"Madrid, Spain",ACM,"New York, NY, USA",computing education strategies
article,1384390,Ananda  Gunawardena and John  Barr and Andrew  Owens,,,,A Method for Analyzing Reading Comprehension in Computer Science Courses,348--348,,1,"language, reading, strategies",10.1145/1597849.1384390,SIGCSE Bull.,Sep-08,40,3,,June,2008,0097-8418,,,,,,ACM,"New York, NY, USA",computing education strategies
article,3011808,Joe  Bergin and Christian  Kohls and Christian  K&#246;ppe and Yishay  Mor and Michel  Portier and Till  Sch&#252;mmer and Steven  Warburton,,,,Student's Choice of Assessment,22:1--22:10,22,10,"Education, assessment, educational patterns",10.1145/3011784.3011808,,,,,,,2016,,Proceedings of the 21st European Conference on Pattern Languages of Programs,EuroPlop '16,,978-1-4503-4074-8,"Kaufbeuren, Germany",ACM,"New York, NY, USA",computing education strategies
