"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","275770","CORPORATE  Office of the Vice Provost for Information Technology","","","","University Administrative Policy Number 60","511--518","","8","","","","","","","","","","","Internet Besieged","","","0-201-30820-7","","ACM Press/Addison-Wesley Publishing Co.","New York, NY, USA"
"article","958584","  Office of Technology Assessment","","","","Information Technology and Its Impact on American Eduction","7--13","","7","","10.1145/958581.958584","SIGCAS Comput. Soc.","Summer 1982","12","3","","July","1982","0095-2737","","","","","","ACM","New York, NY, USA"
"article","957900","  Office of Technology Assessment","","","","Study on Information Technology, Automation, and the Workplace","35--40","","6","","10.1145/957893.957900","SIGCAS Comput. Soc.","Winter 1982","12","1","","January","1982","0095-2737","","","","","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"article","2513444","John R. Porter and Julie A. Kientz","","","","An Empirical Study of Issues and Barriers to Mainstream Video Game Accessibility","3:1--3:8","3","8","access technology, accessibility, video games","10.1145/2513383.2513444","","","","","","","2013","","Proceedings of the 15th International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS '13","","978-1-4503-2405-2","Bellevue, Washington","ACM","New York, NY, USA"
"article","1631794","Joseph J. Ekstrom","","","","Collecting IT Scholarship: The Need for Identification and Access","208--208","","1","information technology research","10.1145/1631728.1631794","","","","","","","2009","","Proceedings of the 10th ACM Conference on SIG-information Technology Education","SIGITE '09","","978-1-60558-765-3","Fairfax, Virginia, USA","ACM","New York, NY, USA"
"article","2994606","Brianna J. Tomlinson and Jared  Batterman and Yee Chieh Chew and Ashley  Henry and Bruce N. Walker","","","","Exploring Auditory Graphing Software in the Classroom: The Effect of Auditory Graphs on the Classroom Environment","3:1--3:27","3","27","Auditory displays, educational technologies","10.1145/2994606","ACM Trans. Access. Comput.","November 2016","9","1","","November","2016","1936-7228","","","","","","ACM","New York, NY, USA"
"article","1324351","Raheel A. Malik and Raymond A. Hansen and James E. Goldman and Anthony H. Smith","","","","Laboratory Modules for Conducting Comparative Analysis of 802.11 Frames","225--232","","8","information technology education, wireless networking education","10.1145/1324302.1324351","","","","","","","2007","","Proceedings of the 8th ACM SIGITE Conference on Information Technology Education","SIGITE '07","","978-1-59593-920-3","Destin, Florida, USA","ACM","New York, NY, USA"
"article","1029613","Larry  Corman and Evans  Adams","","","","TECH@FLC: A Program Funded by an Industry Consortium","280--280","","1","information technology education, web development","10.1145/1029533.1029613","","","","","","","2004","","Proceedings of the 5th Conference on Information Technology Education","CITC5 '04","","1-58113-936-5","Salt Lake City, UT, USA","ACM","New York, NY, USA"
"article","947156","Misook  Heo","","","","A Learning and Assessment Tool for Web-based Distributed Education","151--154","","4","assessment, distributed education, educational technology","10.1145/947121.947156","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
"article","1806009","Seniz  Demir and David  Oliver and Edward  Schwartz and Stephanie  Elzer and Sandra  Carberry and Kathleen F. McCoy","","","","Interactive SIGHT into Information Graphics","16:1--16:10","16","10","accessibility, assistive technology, graph summarization","10.1145/1805986.1806009","","","","","","","2010","","Proceedings of the 2010 International Cross Disciplinary Conference on Web Accessibility (W4A)","W4A '10","","978-1-4503-0045-2","Raleigh, North Carolina","ACM","New York, NY, USA"
"article","3134774","Lauren R. Milne and Catherine M. Baker and Richard E. Ladner","","","","Blocks4All Demonstration: A Blocks-Based Programming Environment for Blind Children","313--314","","2","accessibility, blind, children, educational technology, touchscreen interactions.","10.1145/3132525.3134774","","","","","","","2017","","Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS '17","","978-1-4503-4926-0","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","2380560","Rex Perez Bringula","","","","Influence of Proximity to and Accessibility of School on School Choice of Information Technology Students","19--24","","6","accessibility, distance, information technology education, proximity, school choice, travel time","10.1145/2380552.2380560","","","","","","","2012","","Proceedings of the 13th Annual Conference on Information Technology Education","SIGITE '12","","978-1-4503-1464-0","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","1867662","Christopher  Cole and Joseph J. Ekstrom","","","","The IT Thesis Project: A Slow Beginning","33--36","","4","information technology research","10.1145/1867651.1867662","","","","","","","2010","","Proceedings of the 2010 ACM Conference on Information Technology Education","SIGITE '10","","978-1-4503-0343-9","Midland, Michigan, USA","ACM","New York, NY, USA"
"article","1631762","Christopher  Cole and Joseph J. Ekstrom and Richard  Helps","","","","Collecting IT Scholarship: The IT-thesis Project","127--132","","6","information technology research","10.1145/1631728.1631762","","","","","","","2009","","Proceedings of the 10th ACM Conference on SIG-information Technology Education","SIGITE '09","","978-1-60558-765-3","Fairfax, Virginia, USA","ACM","New York, NY, USA"
"article","2461142","Raja S. Kushalnagar and Walter S. Lasecki and Jeffrey P. Bigham","","","","Captions Versus Transcripts for Online Video Content","32:1--32:4","32","4","captions, deaf education, online education, transcripts","10.1145/2461121.2461142","","","","","","","2013","","Proceedings of the 10th International Cross-Disciplinary Conference on Web Accessibility","W4A '13","","978-1-4503-1844-0","Rio de Janeiro, Brazil","ACM","New York, NY, USA"
"article","2593906","Anirudha N.  Joshi","","","","Interaction Design for People with Less Education (Keynote)","7--7","","1","Education","10.1145/2593902.2593906","","","","","","","2014","","Proceedings of the 1st International Conference on Mobile Software Engineering and Systems","MOBILESoft 2014","","978-1-4503-2878-4","Hyderabad, India","ACM","New York, NY, USA"
"article","2381098","Sheryl  Burgstahler and Richard E. Ladner and Scott  Bellman","","","","Strategies for Increasing the Participation in Computing of Students with Disabilities","42--48","","7","accessibility, assistive technology, disability, diversity, universal design","10.1145/2381083.2381098","ACM Inroads","December 2012","3","4","","December","2012","2153-2184","","","","","","ACM","New York, NY, USA"
"article","1631783","Gregory W. Hislop and Lillian  Cassel and Lois  Delcambre and Edward  Fox and Rick  Furuta and Peter  Brusilovsky","","","","Ensemble: Creating a National Digital Library for Computing Education","200--200","","1","information technology, sharing curriculum materials","10.1145/1631728.1631783","","","","","","","2009","","Proceedings of the 10th ACM Conference on SIG-information Technology Education","SIGITE '09","","978-1-60558-765-3","Fairfax, Virginia, USA","ACM","New York, NY, USA"
"article","947518","Anand  Padmanabhan","","","","The SNet Model: Access, Security and e-Services for Students","182--188","","7","SNet, communication, eServices, email, higher education, information technology, model, wireless","10.1145/947469.947518","","","","","","","2003","","Proceedings of the 31st  Annual ACM SIGUCCS Fall Conference","SIGUCCS '03","","1-58113-665-X","San Antonio, TX, USA","ACM","New York, NY, USA"
"article","2738025","Jasmine  Jones and Joyojeet  Pal","","","","Counteracting Dampeners: Understanding Technology-amplified Capabilities of People with Disabilities in Sierra Leone","6:1--6:10","6","10","accessibility, africa, amplification, assistive technology, capability, disability, education, marginality, mobile","10.1145/2737856.2738025","","","","","","","2015","","Proceedings of the Seventh International Conference on Information and Communication Technologies and Development","ICTD '15","","978-1-4503-3163-0","Singapore, Singapore","ACM","New York, NY, USA"
"article","1117433","Almudena Moreno Minguez","","","","New Technologies As Social Fact: Gender and Digital Divide in Spain in Compared Perspective","","16","","education, gender, information technology, women studies","10.1145/1117417.1117433","","","","","","","2005","","Proceedings of the International Symposium on Women and ICT: Creating Global Transformation","CWIT '05","","1-59593-301-8","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","2538997","Yan  Bai and Xinli  Wang","","","","ITSEED: Hands-on Labs for IT Security Education (Abstract Only)","739--739","","1","information technology, security education","10.1145/2538862.2538997","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2670751","Jaideep  Vaidya and David  Lorenzi and Basit  Shafiq and Soon  Chun and Nazia  Badar","","","","Teaching Privacy in an Interactive Fashion","7:1--7:7","7","7","case study, privacy, technology education","10.1145/2670739.2670751","","","","","","","2014","","Proceedings of the 2014 Information Security Curriculum Development Conference","InfoSec '14","","978-1-4503-3049-7","Kennesaw, Georgia","ACM","New York, NY, USA"
"article","1352280","Charlie  Wiseman and Ken  Wong and Tilman  Wolf and Sergey  Gorinsky","","","","Operational Experience with a Virtual Networking Laboratory","427--431","","5","assessment, educational technology, virtual laboratory","10.1145/1352322.1352280","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1352280","Charlie  Wiseman and Ken  Wong and Tilman  Wolf and Sergey  Gorinsky","","","","Operational Experience with a Virtual Networking Laboratory","427--431","","5","assessment, educational technology, virtual laboratory","10.1145/1352135.1352280","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","1953323","Andreas M. Stefik and Christopher  Hundhausen and Derrick  Smith","","","","On the Design of an Educational Infrastructure for the Blind and Visually Impaired in Computer Science","571--576","","6","accessibility, assistive technology, auditory debugging, visual impairments","10.1145/1953163.1953323","","","","","","","2011","","Proceedings of the 42Nd ACM Technical Symposium on Computer Science Education","SIGCSE '11","","978-1-4503-0500-6","Dallas, TX, USA","ACM","New York, NY, USA"
"article","947149","Elizabeth  Lawley and Tona  Henderson","","","","Understanding Gendered Attrition in IT Programs","122--125","","4","information technology education, women","10.1145/947121.947149","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
