"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Teaching and promoting web accessibility in virtual learning environments: A staff training experience in Latin-America","H. R. Amado-Salvatierra; R. Hernández; J. R. Hilera","GES Department, Galileo University, Guatemala, Guatemala","2014 IEEE Frontiers in Education Conference (FIE) Proceedings","20150219","2014","","","1","4","Constant evolution of technology triggers a large myriad of research related to accessibility in Virtual Learning Environments (VLE). In the same way, international initiatives provide guidelines to create accessible web content, but educational institutions, especially in Latin-America (LA), are not aware of the VLE barriers that could affect students with disabilities. The fulfillment of accessibility standards in a virtual campus provides benefits for all the academic community that in some cases could face difficulties to learn through the VLE. This work proposes an innovative practice to implement, promote and include accessibility features in a VLE through an intensive training workshop based on best practices. This approach is addressed to technical staff involved in the installation, maintenance and support of e-Learning solutions in academic institutions, with a special focus on software and web engineering. A first staff training experience was implemented in seven countries in LA with more than 180 participants from 52 different Higher Education Institutions (HEI). Results from the experience manifest a growing interest from HEIs in accessibility topics and encourage improving the workshop materials for new editions. The design of Massive Open Online Courses (MOOC) based on the workshop will allow the initiative to reach a broader audience.","0190-5848;01905848","Electronic:978-1-4799-3922-0; POD:978-1-4799-3923-7; USB:978-1-4799-3921-3","10.1109/FIE.2014.7044392","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7044392","Accessibility;Training;Virtual Learning Environment;Web Engineering;Web-based Courses;e-Learning","Barium;Three-dimensional displays","Internet;computer aided instruction;educational courses;educational institutions;further education;handicapped aids;software engineering;teaching","HEI;Latin-America;MOOC;VLE;Web accessibility;Web engineering;e-learning solutions;educational institutions;higher education institutions;massive open online courses;software engineering;staff training;students with disabilities;teaching;technical staff;virtual campus;virtual learning environments","","0","","24","","","","22-25 Oct. 2014","","IEEE","IEEE Conference Publications"
"STEM collaboration in virtual world academy","L. Divine; R. Williams","Virtual Reality Academy Deputy Director, Tec&#x005E;Edge Innovation and Collaboration Center, Dayton, Ohio, United States","2013 International Conference on Collaboration Technologies and Systems (CTS)","20130725","2013","","","569","575","There is general agreement about the importance of increasing the number of students choosing career fields in Science, Technology, Engineering, and Mathematics (STEM). However most of the initiatives designed to get students interested in STEM fields are constrained by floor space, budget, or driving distance. These factors, in combination, act to limit the affordability and accessibility of research opportunities in STEM fields to students in schools faced with increasingly limited budgets or lacking access to experienced STEM teachers. Since a trained STEM workforce is crucial to tackling research challenges of importance to the Air Force and the nation, the Air Force Research Laboratory (AFRL) Discovery Lab program has developed a Virtual Reality Academy (VRA) program utilizing open source virtual reality software, Open Simulator, to create a virtual collaboration environment called Virtual (reality) Discovery Center (VDC). This 16-region VDC is the key to the Discovery Lab's 1,000 Student Outreach initiative designed to greatly expand the Discovery Lab's ability to make project-based “hands-on” research experience accessible to students across the country via the Open Simulator collaboration technologies. This paper highlights many of the successful efforts to establish VDC Virtual Learning Academies in areas such as Biology, Nanotechnology, Computer Vision, and Mobile Computing (smartphone apps). This paper is not a scientific study of Open Simulator as a collaboration tool for STEM but rather a descriptive overview of its successful implementation locally and nationally - suggesting its potential as a game-changer in STEM education and research.","","Electronic:978-1-4673-6404-1; POD:978-1-4673-6403-4","10.1109/CTS.2013.6567288","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6567288","","Avatars;Collaboration;Dinosaurs;Educational institutions;Solid modeling;Space shuttles","computer aided instruction;engineering education;groupware;public domain software;teaching;virtual reality","16-region VDC;Air Force Research Laboratory Discovery Lab program;Open Simulator collaboration technologies;STEM collaboration;STEM fields;STEM teachers;STEM workforce;VRA program;Virtual Discovery Center;Virtual Reality Academy program;driving distance;floor space;open source virtual reality software;project-based hands-on research experience;science-technology-engineering-mathematics;virtual collaboration environment;virtual learning academies","","1","","6","","","","20-24 May 2013","","IEEE","IEEE Conference Publications"
"Engineering Education - A Great Challenge to Software Engineering","J. Král; M. emlicka","Fac. of Math. & Phys. Dept. of Software Eng., Charles Univ., Prague","Seventh IEEE/ACIS International Conference on Computer and Information Science (icis 2008)","20080523","2008","","","488","495","It is generally accepted that software engineering shares many features with classical engineering disciplines like marketing issues, warranty and others. This fact can be also illustrated on the case of contemporary lack of IT students like in other engineering disciplines. The dynamics of software engineering and the requirement that IT should be widely used in other disciplines imply that IT professional should understand various knowledge domains and skills like but more intensively than in classical engineering disciplines. This ability is sometimes called versatility. It is difficult for teachers to teach it as they are induced to do research being typically fragmented into small research areas. We give examples when IT experts should behave like classical engineers and when software engineering specific skills are needed. An example is the solution of the problem of falling interests of young people to study engineering and science disciplines, software engineering inclusive. The solution of this issue can have the greatest long term impact on engineering education. It can moreover change the rules for the accessibility and analysis of the data collected by e- government systems. We show that it is necessary to apply IT tools to evaluate the quality of schools and education systems by the success on labor market. It can change the attitudes of public to engineering and science education and improve the management of the entire education system. It is the biggest challenge that software engineering has ever faced.","","POD:978-0-7695-3131-1","10.1109/ICIS.2008.116","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4529866","","Educational institutions;Engineering education;Engineering profession;Information science;Information technology;Knowledge engineering;Physics computing;Software engineering;Systems engineering education;Warranties","computer science education;engineering education;software engineering","IT professional;education systems;engineering education;science education;software engineering","","1","","20","","","","14-16 May 2008","","IEEE","IEEE Conference Publications"
"Technology transfer issues for formal methods of software specification","K. Abernethy; J. Kelly; A. Sobel; J. D. Kiper; J. Powell","Dept. of Comput. Sci., Furman Univ., Greenville, SC, USA","Thirteenth Conference on Software Engineering Education and Training","20020806","2000","","","23","31","Accurate and complete requirements specifications are crucial for the design and implementation of high-quality software. Unfortunately, the articulation and verification of software system requirements remains one of the most difficult and error-prone tasks in the software development lifecycle. The use of formal methods, based on mathematical logic and discrete mathematics, holds promise for improving the reliability of requirements articulation and modeling. However, formal modeling and reasoning about requirements has not typically been a part of the software analyst's education and training, and because the learning curve for the use of these methods is nontrivial, adoption of formal methods has proceeded slowly. As a consequence, technology transfer is a significant issue in the use of formal methods. In this paper, several efforts undertaken at NASA aimed at increasing the accessibility of formal methods are described. These include the production of the following: two NASA guidebooks on the concepts and applications of formal methods, a body of case studies in the application of formal methods to the specification of requirements for actual NASA projects, and course materials for a professional development course introducing formal methods and their application to the analysis and design of software-intensive systems. In addition, efforts undertaken at two universities to integrate instruction on formal methods based on these NASA materials into the computer science and software engineering curricula are described.","1093-0175;10930175","POD:0-7695-0421-3","10.1109/CSEE.2000.827014","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=827014","","Application software;Educational institutions;Logic;Mathematical model;Mathematics;NASA;Production systems;Programming;Software systems;Technology transfer","aerospace computing;aerospace industry;computer science education;educational courses;formal specification;technology transfer;training","NASA;aerospace industry;case studies;computer science education;discrete mathematics;formal methods;high-quality software;mathematical logic;professional development course;requirements specifications;requirements verification;technology transfer;training","","3","","24","","","","6-8 March 2000","","IEEE","IEEE Conference Publications"
"Remote renewable energy laboratory: Green Electric Energy Park (GEEP)","N. Mohammadi; I. Murray; G. Hsiung","Department of Electrical and Computer Engineering, Curtin University, Perth, Australia","2017 4th Experiment@International Conference (exp.at'17)","20170720","2017","","","196","201","Distributed teaching of engineering subjects requires the accessibility of equipment and devices over the Internet The authors have developed an effective environment for remote renewable engineering laboratories and distance learning. This paper covers the background, methods, evaluation and analysis of remote laboratory model designed and implemented to consolidate data, video and audio feeds gathered from Curtin University's Green Electric Energy Park (GEEP) facility into a VMWare virtual machine, accessible through NDG's NETLAB+ platform. The model was designed with the desire of reducing the bandwidth overheads when attempting to access particular feeds and stable connectivity in a secure manner to provide Curtin international partner students with the same laboratory environment as local students.","","Electronic:978-1-5386-0810-4; POD:978-1-5386-0811-1","10.1109/EXPAT.2017.7984365","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7984365","GEEP;NETLAB;online education;remote laboratory;renewable energy","Bandwidth;Cameras;Education;IP networks;Remote laboratories;Software;Virtual private networks","Internet;distance learning;educational institutions;renewable energy sources;teaching;virtual machines","Curtin University;Curtin international partner students;GEEP;Green Electric Energy Park;Internet;NDG NETLAB+ platform;VMWare virtual machine;distance learning;distributed teaching;engineering subjects;remote laboratory model;remote renewable energy laboratory;renewable engineering laboratories","","","","","","","","6-8 June 2017","","IEEE","IEEE Conference Publications"
"A rating system that open-data repositories must satisfy to be considered OER: Reusing open data resources in teaching","N. Piedra; J. Chicaiza; J. López; E. T. Caro","Universidad T&#x00E9;cnica particular de Loja, Ecuador, Departamento de Ciencias de la Computaci&#x00F3;n, Loja, Ecuador","2017 IEEE Global Engineering Education Conference (EDUCON)","20170608","2017","","","1768","1777","The re-use of digital content is an essential part of the knowledge-based economy. The online accessibility of open materials will make possible for teachers, students and self-learners to use them for leisure, studies or work. Recent studies have focused on the use or reuse of digital resources with specific reference to the open data field. Moreover, open data can be reused - for both commercial and non-commercial purposes - for uses such as developing learning and educational content, with full respect for copyright and related rights. This work presents a rating system for open data as OER is proposed. This rating system present a framework to search, download and re-use digital resources by teachers and students. The rating system proposed is built from the ground upwards on Open data principles and Semantic Web technologies. By following open data best practices and Linked Data principles, open data initiative ensures that data hosted can be fully connected into a Web of Linked Data. This work aims at sharing good practices for administrative/academics/researchers on gathering and disseminating good quality data, using interoperable standards and overcoming legal obstacles. In this way, open data becomes a tool for teaching and educational environments to improve engagement and student learning. Designing an open data repository that manages and shares information of different catalogues and an evaluation tool to OER will allow teachers and students to increase educational contents and to improve relationship between open data initiatives and education context.","","Electronic:978-1-5090-5467-1; POD:978-1-5090-5468-8; USB:978-1-5090-5466-4","10.1109/EDUCON.2017.7943089","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7943089","component;formatting;insert (key words);style;styling","Context;Education;Government;Portals;Tools","Linked Data;computer aided instruction;open systems;semantic Web;teaching","OER;Web of Linked Data;digital resource downloading;digital resource re-use;digital resource search;digital resources;educational content;educational environments;interoperable standards;knowledge-based economy;learning content;online accessibility;open data resources;open materials;open-data repositories;rating system;semantic Web technologies;student engagement improvement;student learning improvement;teaching environments","","","","","","","","25-28 April 2017","","IEEE","IEEE Conference Publications"
"Increasing the accessibility of measurement equipment for undergraduate courses dedicated to embedded systems","R. Beneder; M. Lechner; P. Schmitt","Department of Embedded Systems, UAS Technikum Wien, Vienna, Austria","2017 IEEE Global Engineering Education Conference (EDUCON)","20170608","2017","","","161","164","Embedded systems courses and labs teaching hardware and software design are a necessity in many technical university programs. Within these courses, students need to perform signal measurements on real hardware utilizing expensive and professional equipment. This implies that it would be advantageous for all students (full-time, part-time & distance learning) having access to the real hardware and the necessary equipment. Due to OPES (One Platform for Every Student) it is ensured that students are equipped with embedded platforms. In order to develop their skills at home, proper measurement equipment is mandatory. Therefore, the tools to complete the exercises and assignments need to be available 24/7 to all students. To address this need of access to measurement equipment outside the university, a suitable toolkit is necessary. This toolkit should be affordable for the university to increase the availability of measurement equipment for every student. Furthermore, it should provide adequate functions and features to ease the successful completion of exercises and assignments. Finally, the toolkit should be scalable to ensure the integration of further functions and features. The hardware and software design should be available to the open-source community as well. This paper describes the development of a low-cost, open-source oscilloscope which has the potential to solve these problems and closes the lack of access. Hence, this paper gives an overview of the oscilloscope architecture, the signal processing unit, and the graphical user interface.","","Electronic:978-1-5090-5467-1; POD:978-1-5090-5468-8; USB:978-1-5090-5466-4","10.1109/EDUCON.2017.7942842","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7942842","Embedded Platforms;Measurement Equipment;Open-Source;Signal Processing","Graphical user interfaces;Hardware;Open source software;Oscilloscopes;Probes;Signal processing;Voltage measurement","computer aided instruction;educational courses;electronic engineering education;embedded systems;graphical user interfaces;oscilloscopes;public domain software;signal processing","OPES;embedded systems courses;graphical user interface;hardware design;measurement equipment;one platform for every student;open-source community;open-source oscilloscope;oscilloscope architecture;professional equipment;signal measurements;signal processing unit;software design;technical university programs;undergraduate courses","","","","","","","","25-28 April 2017","","IEEE","IEEE Conference Publications"
"Online bio-robotics labs: Open hardware models and architecture","D. Kumar; K. Achuthan; B. Nair; S. Diwakar","Amrita School of Biotechnology, Amrita Vishwa Vidyapeetham (Amrita University), Kollam, India","2016 International Conference on Robotics and Automation for Humanitarian Applications (RAHA)","20170523","2016","","","1","5","This paper is on free and open source software architecture (FOSS) for remote labs in order to address the affordability and scalability of robotic education technology for sustainable deployments. The proposed Raspberry Pi-Arduino-based model architecture ensures lower cost while allowing some scalability, interoperability, portability and interchangeability to the low-cost online laboratory. Remotely controlled lab provides training skills in bio-inspired robotics. Our previous studies had shown that the implementation of remotely controlled online labs in the curriculum improved active learning among students, collaboration, and augmented problem solving skills. The preliminary implementation involved proprietary software, as the remote experiment accessibility platform, which was later replaced with FOSS technology. The advantages with FOSS included a significantly lower cost and scalability for concurrent usage. The paper also reports on usage analysis and common issues in both cases of implementations.","","Electronic:978-1-5090-5203-5; POD:978-1-5090-5204-2","10.1109/RAHA.2016.7931877","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7931877","Arduino;Bio-inspired robotics;Low-cost laboratory education;Open Source;Raspberry Pi;Remote labs","Computer architecture;Data acquisition;Education;Educational robots;Robot kinematics;Servers","biomimetics;computer aided instruction;control engineering computing;control engineering education;laboratories;public domain software;software architecture;telecontrol","FOSS technology;bio-inspired robotics;free and open source software architecture;online bio-robotics labs;open hardware models;raspberry pi Arduino-based model architecture;remotely controlled lab;robotic education technology","","","","","","","","18-20 Dec. 2016","","IEEE","IEEE Conference Publications"
"Evaluating Responsive Web Design's Impact on Blind Users","T. C. Nogueira; D. J. Ferreira; S. T. Carvalho; L. O. Berreta","Federal Institute of Education, Science and Technology of Mato Grosso","IEEE MultiMedia","20170510","2017","24","2","86","95","Recent studies show that websites complying with accessibility guidelines can still be ineffective, inefficient, and unpleasant. Compliance with accessibility guidelines does not guarantee blind users' satisfaction when accessing websites. Meanwhile, in recent years, websites have undergone radical changes regarding design, development, and construction. Responsive design is a new trend that has a strong impact on web design. To determine blind users' experience with responsive design, the authors performed empirical tests to investigate the impact of responsive design on the emotions of blind users during web interactions. They measured user emotions by applying the Positive and Negative Affect Schedule (PANAS) instrument. Results show that although the responsive websites investigated had acceptable levels of accessibility, they posed numerous usability barriers and triggered intense, negative user emotions. Furthermore, the average number of negative emotional reactions for blind users was higher in the case of responsive web design than in the case of nonresponsive web design.","1070-986X;1070986X","","10.1109/MMUL.2017.21","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7924277","HCI design and evaluation methods;Internet/Web technologies;accessibility;blind user;healthcare;mobile;multimedia;software engineering;usability;user experience","Education;Guidelines;Internet and Web services;Market research;Medical services;Software engineering;Usability;Web design","Web design;handicapped aids","PANAS instrument;accessibility guidelines;blind users;positive and negative affect schedule instrument;responsive Web design","","","","","","","","Apr.-June 2017","","IEEE","IEEE Journals & Magazines"
"WeeMiK: A low-cost omnidirectional swarm platform for outreach, research and education","M. Karimi; A. Ahmadi; P. Kavandi; S. S. Ghidary","Amirkabir Robotic Research Institute (ARRI), Amirkabir University of Technology (Tehran polytechnic), No.424, Hafez AVE, Tehran, Iran","2016 4th International Conference on Robotics and Mechatronics (ICROM)","20170327","2016","","","26","31","We present our recent work on the electrical and hardware design of the multi-robot mobile platform WeeMiK. The goal of this project was to develop a low-cost and robust but extensible platform for research and educational purpose especially in swarm robotics. WeeMiK structure enables large-scale innovative, new curriculum, multi-agent research and mobile robot outreach to artificial intelligent students. We introduce WeeMiK platform, which offers a balance between capabilities, accessibility, cost and an open-design with open source programing SDK. All of electrical structure include sensors, motor drive, wireless communication system and device communication manager (DCM), are designed based on a 8-Bit AVR micro-controller that runs under Real-Time Operating System (freeRTOS) with tasks scheduling. With a range of different sensors like inertia navigation system (INS), IR ring for both transceiver data besides proximity, wireless communication and omnidirectional locomotion system, not only WeeMiK can interact with environment in multiple ways, but it also able to communicate with the other WeeMiKs and or PC, therefore it can be used in various swarm robotic scenarios. We demonstrate the usability of our concept by quantifying the obstacle avoidance task and also briefly describe the software design based on Arduino and freeRTOS framework for educational usage.","","Electronic:978-1-5090-3222-8; POD:978-1-5090-3223-5","10.1109/ICRoM.2016.7886789","","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7886789","Device Communication Manager;Multi-robot Platform;Opendesign Structure;Swarm Robotics","Mobile robots;Program processors;Robot sensing systems;Sensor systems;Wheels","collision avoidance;control engineering education;educational courses;educational robots;inertial navigation;microcontrollers;mobile robots;motion control;multi-robot systems;operating systems (computers);public domain software;robot programming","8-Bit AVR microcontroller;Arduino;DCM;INS;IR ring;SDK;WeeMiK;artificial intelligent students;device communication manager;educational purpose;educational usage;freeRTOS;freeRTOS framework;inertia navigation system;low-cost omnidirectional swarm platform;mobile robot outreach;motor drive;multiagent research;multirobot mobile platform;obstacle avoidance task;omnidirectional locomotion system;open source programing;real-time operating system;software design;swarm robotic scenarios;swarm robotics;tasks scheduling;transceiver data;wireless communication;wireless communication system","","","","","","","","26-28 Oct. 2016","","IEEE","IEEE Conference Publications"
